"name","stockcode","percentage","size","standard_drinks","special","package","package_size","total_price","unit_price","cost_per_standard"
Ginger Resistance Original Ginger Beer 330mL Can,"103763",4.0,330.0,1.0,false,bottle,1,6.09,6.09,6.09
Ginger Resistance Original Ginger Beer 330mL Can,"103763",4.0,330.0,1.0,true,pack,6,18.0,3.0,3.0
Ginger Resistance Original Ginger Beer 330mL Can,"103763",4.0,330.0,1.0,false,pack,6,20.0,3.33,3.33
Ginger Resistance Original Ginger Beer 330mL Can,"103763",4.0,330.0,1.0,true,case,24,72.0,3.0,3.0
Ginger Resistance Original Ginger Beer 330mL Can,"103763",4.0,330.0,1.0,false,case,24,83.99,3.5,3.5
Tooheys New Cans 6x375mL,"10462",4.6,375.0,1.4,false,bottle,1,4.99,4.99,3.56
Tooheys New Cans 6x375mL,"10462",4.6,375.0,1.4,false,pack,6,21.99,3.66,2.62
Tooheys New Cans 6x375mL,"10462",4.6,375.0,1.4,false,case,24,56.95,2.37,1.69
John Boston Crisp Lager Bottle 330ml,"105097",4.2,330.0,1.1,false,bottle,1,3.99,3.99,3.63
John Boston Crisp Lager Bottle 330ml,"105097",4.2,330.0,1.1,false,pack,6,20.99,3.5,3.18
John Boston Crisp Lager Bottle 330ml,"105097",4.2,330.0,1.1,false,case,24,57.99,2.42,2.2
Dad & Daves Citra Mosaic IPA4X4X375ml,"108326",7.2,375.0,2.1,false,bottle,1,8.49,8.49,4.04
Dad & Daves Citra Mosaic IPA4X4X375ml,"108326",7.2,375.0,2.1,false,pack,4,28.49,7.12,3.39
Dad & Daves Citra Mosaic IPA4X4X375ml,"108326",7.2,375.0,2.1,false,case,16,84.99,5.31,2.53
Pirate Life Brewing South Coast Pale Ale Cans 355mL,"108779",4.4,355.0,1.2,false,bottle,1,5.99,5.99,4.99
Pirate Life Brewing South Coast Pale Ale Cans 355mL,"108779",4.4,355.0,1.2,true,pack,4,14.0,3.5,2.92
Pirate Life Brewing South Coast Pale Ale Cans 355mL,"108779",4.4,355.0,1.2,false,pack,4,17.69,4.42,3.69
